MouseID,AgeInDays,Phenotyping
DO-AL-0012,682,grip
DO-AL-0012,850,grip
DO-AL-0012,1039,grip
DO-20-1012,139,grip
DO-20-1012,306,grip
DO-20-1012,486,grip
DO-20-1012,850,grip
DO-40-2012,139,grip
DO-40-2012,306,grip
DO-40-2012,486,grip
DO-40-2012,681,grip
DO-40-2012,850,grip
DO-40-2012,1039,grip
DO-1D-3012,139,grip
DO-1D-3012,306,grip
DO-1D-3012,486,grip
DO-2D-4012,139,grip
DO-2D-4012,306,grip
DO-2D-4012,486,grip
DO-2D-4012,681,grip
DO-2D-4012,850,grip
DO-2D-4012,1039,grip
DO-20-1013,139,grip
DO-20-1013,306,grip
DO-20-1013,486,grip
DO-20-1013,682,grip
DO-20-1013,850,grip
DO-20-1013,1039,grip
DO-40-2013,139,grip
DO-40-2013,306,grip
DO-40-2013,486,grip
DO-40-2013,681,grip
DO-40-2013,850,grip
DO-1D-3013,139,grip
DO-1D-3013,306,grip
DO-1D-3013,486,grip
DO-1D-3013,681,grip
DO-2D-4013,139,grip
DO-2D-4013,306,grip
DO-2D-4013,486,grip
DO-AL-0014,139,grip
DO-AL-0014,306,grip
DO-AL-0014,486,grip
DO-AL-0014,682,grip
DO-20-1014,139,grip
DO-20-1014,306,grip
DO-40-2014,139,grip
DO-40-2014,306,grip
DO-40-2014,486,grip
DO-40-2014,681,grip
DO-1D-3014,139,grip
DO-1D-3014,306,grip
DO-1D-3014,486,grip
DO-1D-3014,681,grip
DO-1D-3014,850,grip
DO-2D-4014,139,grip
DO-2D-4014,306,grip
DO-2D-4014,486,grip
DO-AL-0015,139,grip
DO-AL-0015,306,grip
DO-AL-0015,486,grip
DO-20-1015,139,grip
DO-20-1015,306,grip
DO-20-1015,486,grip
DO-20-1015,682,grip
DO-20-1015,850,grip
DO-40-2015,139,grip
DO-40-2015,306,grip
DO-40-2015,486,grip
DO-40-2015,681,grip
DO-1D-3015,139,grip
DO-1D-3015,306,grip
DO-2D-4015,139,grip
DO-2D-4015,306,grip
DO-2D-4015,486,grip
DO-2D-4015,681,grip
DO-2D-4015,850,grip
DO-AL-0016,139,grip
DO-AL-0016,306,grip
DO-AL-0016,486,grip
DO-20-1016,139,grip
DO-20-1016,306,grip
DO-20-1016,486,grip
DO-40-2016,139,grip
DO-40-2016,306,grip
DO-40-2016,486,grip
DO-40-2016,681,grip
DO-40-2016,850,grip
DO-40-2016,1039,grip
DO-1D-3016,139,grip
DO-1D-3016,306,grip
DO-1D-3016,486,grip
DO-2D-4016,139,grip
DO-2D-4016,306,grip
DO-2D-4016,486,grip
DO-2D-4016,681,grip
DO-AL-0017,146,grip
DO-AL-0017,301,grip
DO-20-1017,146,grip
DO-20-1017,301,grip
DO-20-1017,485,grip
DO-20-1017,681,grip
DO-40-2017,146,grip
DO-40-2017,301,grip
DO-40-2017,485,grip
DO-40-2017,681,grip
DO-40-2017,849,grip
DO-40-2017,1039,grip
DO-1D-3017,146,grip
DO-1D-3017,485,grip
DO-1D-3017,681,grip
DO-2D-4017,146,grip
DO-2D-4017,485,grip
DO-2D-4017,681,grip
DO-AL-0018,146,grip
DO-AL-0018,301,grip
DO-AL-0018,485,grip
DO-AL-0018,681,grip
DO-20-1018,146,grip
DO-20-1018,301,grip
DO-20-1018,485,grip
DO-20-1018,681,grip
DO-20-1018,849,grip
DO-40-2018,146,grip
DO-40-2018,301,grip
DO-40-2018,485,grip
DO-40-2018,681,grip
DO-40-2018,849,grip
DO-1D-3018,146,grip
DO-1D-3018,485,grip
DO-1D-3018,681,grip
DO-2D-4018,146,grip
DO-2D-4018,485,grip
DO-2D-4018,681,grip
DO-AL-0019,146,grip
DO-AL-0019,301,grip
DO-AL-0019,485,grip
DO-20-1019,146,grip
DO-20-1019,301,grip
DO-20-1019,485,grip
DO-40-2019,146,grip
DO-40-2019,301,grip
DO-40-2019,485,grip
DO-40-2019,681,grip
DO-40-2019,849,grip
DO-40-2019,1039,grip
DO-1D-3019,146,grip
DO-1D-3019,485,grip
DO-1D-3019,681,grip
DO-1D-3019,849,grip
DO-2D-4019,146,grip
DO-2D-4019,485,grip
DO-2D-4019,681,grip
DO-2D-4019,849,grip
DO-2D-4019,1039,grip
DO-AL-0020,146,grip
DO-AL-0020,301,grip
DO-AL-0020,485,grip
DO-AL-0020,681,grip
DO-40-2020,146,grip
DO-40-2020,301,grip
DO-40-2020,485,grip
DO-1D-3020,146,grip
DO-1D-3020,485,grip
DO-1D-3020,681,grip
DO-2D-4020,146,grip
DO-2D-4020,485,grip
DO-AL-0021,146,grip
DO-AL-0021,301,grip
DO-AL-0021,485,grip
DO-AL-0021,681,grip
DO-AL-0021,849,grip
DO-20-1021,146,grip
DO-20-1021,301,grip
DO-20-1021,485,grip
DO-20-1021,681,grip
DO-40-2021,146,grip
DO-40-2021,301,grip
DO-40-2021,485,grip
DO-40-2021,681,grip
DO-2D-4021,146,grip
DO-2D-4021,485,grip
DO-20-1022,146,grip
DO-20-1022,301,grip
DO-20-1022,485,grip
DO-20-1022,681,grip
DO-20-1022,849,grip
DO-20-1022,1039,grip
DO-40-2022,146,grip
DO-40-2022,485,grip
