mouse_id,AL,20,40,1D,2D
DO-1D-3168,0,0,0,1,0
DO-1D-3169,0,0,0,1,0
DO-1D-3170,0,0,0,1,0
DO-1D-3171,0,0,0,1,0
DO-1D-3172,0,0,0,1,0
DO-1D-3173,0,0,0,1,0
DO-1D-3174,0,0,0,1,0
DO-1D-3175,0,0,0,1,0
DO-1D-3176,0,0,0,1,0
DO-1D-3177,0,0,0,1,0
DO-1D-3178,0,0,0,1,0
DO-1D-3179,0,0,0,1,0
DO-1D-3180,0,0,0,1,0
DO-1D-3181,0,0,0,1,0
DO-1D-3182,0,0,0,1,0
DO-1D-3183,0,0,0,1,0
DO-1D-3184,0,0,0,1,0
DO-1D-3185,0,0,0,1,0
DO-1D-3186,0,0,0,1,0
DO-1D-3187,0,0,0,1,0
DO-1D-3188,0,0,0,1,0
DO-1D-3189,0,0,0,1,0
DO-1D-3190,0,0,0,1,0
DO-1D-3191,0,0,0,1,0
DO-1D-3192,0,0,0,1,0
DO-20-1001,0,1,0,0,0
DO-20-1002,0,1,0,0,0
DO-20-1003,0,1,0,0,0
DO-20-1004,0,1,0,0,0
DO-20-1005,0,1,0,0,0
DO-20-1006,0,1,0,0,0
DO-20-1007,0,1,0,0,0
DO-20-1008,0,1,0,0,0
DO-20-1009,0,1,0,0,0
DO-20-1010,0,1,0,0,0
DO-20-1011,0,1,0,0,0
DO-20-1012,0,1,0,0,0
DO-20-1013,0,1,0,0,0
DO-20-1014,0,1,0,0,0
DO-20-1015,0,1,0,0,0
DO-20-1016,0,1,0,0,0
DO-20-1017,0,1,0,0,0
DO-20-1018,0,1,0,0,0
DO-20-1019,0,1,0,0,0
DO-20-1020,0,1,0,0,0
DO-20-1021,0,1,0,0,0
DO-20-1022,0,1,0,0,0
DO-20-1023,0,1,0,0,0
DO-20-1024,0,1,0,0,0
DO-20-1025,0,1,0,0,0
DO-20-1026,0,1,0,0,0
DO-20-1027,0,1,0,0,0
DO-20-1028,0,1,0,0,0
DO-20-1029,0,1,0,0,0
DO-20-1030,0,1,0,0,0
DO-20-1031,0,1,0,0,0
DO-20-1032,0,1,0,0,0
DO-20-1033,0,1,0,0,0
DO-20-1034,0,1,0,0,0
DO-20-1035,0,1,0,0,0
DO-20-1036,0,1,0,0,0
DO-20-1037,0,1,0,0,0
DO-20-1038,0,1,0,0,0
DO-20-1039,0,1,0,0,0
DO-20-1040,0,1,0,0,0
DO-20-1041,0,1,0,0,0
DO-20-1042,0,1,0,0,0
DO-20-1043,0,1,0,0,0
DO-20-1044,0,1,0,0,0
DO-20-1045,0,1,0,0,0
DO-20-1046,0,1,0,0,0
DO-20-1047,0,1,0,0,0
DO-20-1048,0,1,0,0,0
DO-20-1049,0,1,0,0,0
DO-20-1050,0,1,0,0,0
DO-20-1051,0,1,0,0,0
DO-20-1052,0,1,0,0,0
DO-20-1053,0,1,0,0,0
DO-20-1054,0,1,0,0,0
DO-20-1055,0,1,0,0,0
DO-20-1056,0,1,0,0,0
DO-20-1057,0,1,0,0,0
DO-20-1058,0,1,0,0,0
DO-20-1059,0,1,0,0,0
DO-20-1060,0,1,0,0,0
DO-20-1061,0,1,0,0,0
DO-20-1062,0,1,0,0,0
DO-20-1063,0,1,0,0,0
DO-20-1064,0,1,0,0,0
DO-20-1065,0,1,0,0,0
DO-20-1066,0,1,0,0,0
DO-20-1067,0,1,0,0,0
DO-20-1068,0,1,0,0,0
DO-20-1069,0,1,0,0,0
DO-20-1070,0,1,0,0,0
DO-20-1071,0,1,0,0,0
DO-20-1072,0,1,0,0,0
DO-20-1073,0,1,0,0,0
DO-20-1074,0,1,0,0,0
DO-20-1075,0,1,0,0,0
DO-20-1076,0,1,0,0,0
DO-20-1077,0,1,0,0,0
DO-20-1078,0,1,0,0,0
DO-20-1079,0,1,0,0,0
DO-20-1080,0,1,0,0,0
DO-20-1081,0,1,0,0,0
DO-20-1082,0,1,0,0,0
DO-20-1083,0,1,0,0,0
DO-20-1084,0,1,0,0,0
DO-20-1085,0,1,0,0,0
DO-20-1086,0,1,0,0,0
DO-20-1087,0,1,0,0,0
DO-20-1088,0,1,0,0,0
DO-20-1089,0,1,0,0,0
DO-20-1090,0,1,0,0,0
